"","rstudent","dffits","cook.d","cov.r","tau2.del","QE.del","hat","weight","inf"
"1",-0.462858403371856,-0.0248816446226181,0.000620959206104368,1.00644140402866,0.807805903106254,1232.38171962675,0.00347686856882713,0.347686856882713,""
"2",-0.228112400820524,-0.0104516998692388,0.00010966003602374,1.0072759897326,0.808694203223845,1233.16891658607,0.00352278683013104,0.352278683013104,""
"3",-0.320961536159493,-0.0161415430705901,0.000261481696714602,1.00699972309961,0.808401804622895,1232.89883643214,0.00350612686924066,0.350612686924065,""
"4",-0.106363343227942,-0.0030372323066092,9.26284551184547e-06,1.00752857176362,0.80895744633695,1233.43402864272,0.00354162769958647,0.354162769958646,""
"5",0.458008813376408,0.0303100109126826,0.000922001796367368,1.00702092634131,0.808337668709969,1233.18553454002,0.00358371897576032,0.358371897576032,""
"6",0.825567020913965,0.0507661322953232,0.0025815746955535,1.00520505277907,0.806306768294664,1231.67875746849,0.00357045646964844,0.357045646964844,""
"7",0.186188292243838,0.0128626675483881,0.000165920030396896,1.00625802273399,0.808215342046237,1233.62184403043,0.00293381326889436,0.293381326889435,""
"8",-0.397200186195909,-0.0189735266249389,0.000360763703891627,1.00541163530244,0.807392437626348,1233.01131649762,0.00281848211214952,0.281848211214952,""
"9",-0.360020959531348,-0.0169380954757334,0.00028754159130222,1.00553727662623,0.80752166418878,1233.09624807755,0.00282936866731113,0.282936866731112,""
"10",-0.0941492204466228,-0.00236364252065745,5.60224309875957e-06,1.00615922499919,0.808149957385978,1233.53027185507,0.00289331512672836,0.289331512672836,""
"11",-0.164412331256657,-0.0062119656282661,3.86913106608435e-05,1.00604339429888,0.808035893998297,1233.44663658134,0.00287880599644042,0.287880599644042,""
"12",-0.215896552126099,-0.00903510420252201,8.18431223802602e-05,1.00593603542764,0.807928220486762,1233.37078563333,0.00286707938504814,0.286707938504814,""
"13",-3.70533682804045,-0.284814957268892,0.0759111014778734,0.947944774289688,0.741572733973783,1156.69035447539,0.00392252139656093,0.392252139656093,"*"
"14",-1.77752471983366,-0.126519882756309,0.0157807039962242,0.993034716573307,0.791788598860053,1198.43049008521,0.00428624497545884,0.428624497545884,""
"15",-0.708679161630361,-0.0452775317543179,0.00205586333415662,1.00661767939959,0.806952087483918,1224.40900300284,0.00440424638943684,0.440424638943684,""
"16",-3.1447146085684,-0.238259279015829,0.0540040904702594,0.962942554333649,0.758245683827431,1166.82749253065,0.00404633418204693,0.404633418204693,"*"
"17",0.897329641833824,0.058815978666921,0.00346471263649994,1.00543188489084,0.805931983363591,1229.32513640391,0.00412585124363589,0.412585124363589,""
"18",0.879156536857129,0.0577714539460554,0.00334333171768054,1.00557793671707,0.806095587849504,1229.52143025427,0.00412669576825959,0.412669576825959,""
"19",0.877981721991987,0.0577038265798176,0.00333554634780775,1.00558727224391,0.806106046367882,1229.53398178372,0.00412674890390137,0.412674890390137,""
"20",-0.710181786451983,-0.0413796923845208,0.00171552027637097,1.00542231852913,0.806483795081511,1230.73755436018,0.0036301709910527,0.36301709910527,""
"21",0.258277318672822,0.019223922104874,0.00037122102186378,1.00785540136165,0.809102355318692,1233.55497489899,0.00373853448594451,0.37385344859445,""
"24",-0.175840548367185,-0.00698442071689685,4.89305798151693e-05,1.00645934596297,0.808271353203614,1233.39909625389,0.00308440323576152,0.308440323576151,""
"25",0.432211797262956,0.0268636935161851,0.000723717328317396,1.00625006469225,0.807964527902839,1233.34135220853,0.00314699646202447,0.314699646202447,""
"26",1.21384999245388,0.0794231578119688,0.0062926638745799,1.00256966743638,0.802364287671799,1217.70851405933,0.00442759194885321,0.442759194885321,""
"27",1.13803596442812,0.0750986200765298,0.00563239819474611,1.00343979605618,0.803340997775498,1219.72913187801,0.0044307622717729,0.44307622717729,""
"28",1.20852943554466,0.0788361992438139,0.00620073497207945,1.00261545760729,0.802452421373416,1219.19195609105,0.00439547189125928,0.439547189125928,""
"29",1.33985535559571,0.0861813720597248,0.00739462399205118,1.00099550721592,0.800635465347133,1215.8013413367,0.00438853117616152,0.438853117616152,""
"30",0.414869413507112,0.0250104072778442,0.00062711122467932,1.00589926134013,0.807797365121911,1233.39591003131,0.00294590409282284,0.294590409282284,""
"31",-0.502818412743965,-0.0247391365835163,0.000613130835487103,1.00500601295851,0.806973367465092,1232.74073812722,0.00278498946636737,0.278498946636737,""
"32",-1.34666178666042,-0.0680087270883149,0.00461667656051853,0.999760992244188,0.801515997188625,1229.46831921165,0.00238592454657612,0.238592454657612,""
"33",0.899593947404404,0.0493817148391085,0.00244053597792388,1.00386984441441,0.805554131199502,1232.04700011095,0.0029076994489218,0.29076994489218,""
"34",0.445233681672844,0.0265976981727344,0.000709189375775796,1.00582194521494,0.807710053255634,1233.34536890279,0.00294607351840421,0.29460735184042,""
"35",0.27695141831556,0.0177214755217441,0.000314920793305266,1.00616304536608,0.808100292305088,1233.56495573942,0.0029408875059264,0.29408875059264,""
"36",0.583832386809687,0.0316645912593595,0.00100430557828631,1.00477878308452,0.806919839647258,1233.13128824198,0.00260639218101958,0.260639218101957,""
"37",-0.319793540129145,-0.0139537506952588,0.000195058779531768,1.00496983455646,0.807259768785781,1233.26280239718,0.00249648674967978,0.249648674967977,""
"38",-0.178589802692023,-0.00671427098717681,4.51739143422511e-05,1.00530126339422,0.807588304770912,1233.46696112216,0.00253613693195975,0.253613693195974,""
"39",-0.0222398650002377,0.00131882085504115,1.74314397847291e-06,1.00551832153845,0.807793892575473,1233.60192713735,0.00257054317664983,0.257054317664983,""
"40",-1.24210968606502,-0.0575813931957352,0.0033123835541076,1.00042706946541,0.802649175951369,1230.52552924012,0.00204724117666749,0.204724117666749,""
"41",0.682440640622338,0.0452277166063486,0.00205194057186734,1.00666667339229,0.807517252359736,1231.85084033578,0.00395499152670734,0.395499152670734,""
"42",0.37473455309288,0.0269635031127968,0.000730444260636579,1.00802009167428,0.809041661894682,1233.28362039239,0.00395563622406128,0.395563622406128,""
"43",0.58507532750839,0.0395334363582576,0.00156872697367811,1.00719059717137,0.808105485819424,1232.4204579067,0.00395688091186222,0.395688091186222,""
"44",0.3157113249841,0.0233735680743317,0.0005489888977177,1.00817792094308,0.809221407112666,1233.4330852682,0.00395398052735891,0.395398052735891,""
"45",1.21596479903861,0.0742839296726079,0.00550802863190607,1.00225086509386,0.802658737267259,1227.52605234431,0.00385262846079716,0.385262846079715,""
"46",-0.358456613458189,-0.0191579443737637,0.000368543138955652,1.00752406919906,0.808625154545125,1232.44324502441,0.00383005684211326,0.383005684211326,""
"47",-0.412148518246247,-0.022633698414334,0.000514274513875366,1.00730385483681,0.808386525118282,1232.17875002019,0.0038216645854631,0.38216645854631,""
"48",0.249173143360658,0.0191201067216621,0.000367364505866353,1.00818884296135,0.809305850641103,1233.55691333127,0.00389039058326777,0.389039058326777,""
"49",-0.18688329681178,-0.0082604822848828,6.85945235580371e-05,1.00849540089501,0.809454955864014,1232.95677778475,0.00406351613339562,0.406351613339562,""
"50",0.714778768245994,0.0479656161329666,0.00230784585759776,1.00669893897923,0.807394180794826,1231.24032527019,0.00409547540591243,0.409547540591243,""
"51",0.691171282113316,0.0367655488041166,0.00135354276167086,1.00438855023248,0.806491781985593,1232.88282301102,0.00259609509095325,0.259609509095325,""
"52",1.2098340270871,0.0594616365123718,0.0035333532618197,1.00156887344984,0.803454333951356,1231.09762070215,0.00247289140554435,0.247289140554435,""
"53",-0.182383272329126,-0.00690915824386182,4.78341332209821e-05,1.00529400488048,0.807581213006477,1233.46246797391,0.00253517746483547,0.253517746483547,""
"54",-0.111031715054066,-0.00324234395568346,1.0535263465858e-05,1.00541487834315,0.80769808065668,1233.53744722705,0.00255223820167893,0.255223820167892,""
"55",0.925937821939622,0.0474833089704846,0.0022558919985029,1.00328868852666,0.805298394867556,1232.18414010363,0.00255557513788155,0.255557513788155,""
"56",-0.115562897489647,-0.00347523208146961,1.21029894182354e-05,1.00540819274634,0.807691704814396,1233.53329076376,0.00255121683804563,0.255121683804563,""
"57",0.764639423793521,0.0401884677653176,0.00161693356049663,1.00407953244438,0.806154921861419,1232.68623117429,0.00258608573012498,0.258608573012498,""
"58",1.27160551607769,0.0619013552442426,0.00382818048753089,1.00114882497401,0.803007100204502,1230.83301329221,0.00244991580642648,0.244991580642648,""
