"","Response","Predictor","Estimate","Std.Error","DF","Crit.Value","P.Value","Std.Estimate",""
"61","~~Al_g_kg","~~K_g_kg",0.4926,"-",40,3.4426,7e-04,0.4926,"***"
"62","~~K_g_kg","~~MBC_mg_kg_105",-0.2863,"-",40,-1.8177,0.0386,-0.2863,"*"
"63","~~Ntotal_g_100g_105","~~NH4_mgL_105",0.4787,"-",40,3.3165,0.001,0.4787,"**"
"64","~~Ntotal_g_100g_105","~~MBC_mg_kg_105",0.5477,"-",40,3.9819,2e-04,0.5477,"***"
"65","~~Ntotal_g_100g_105","~~A_phosphorus_ppm_105",0.2844,"-",40,1.8042,0.0397,0.2844,"*"
"66","~~Ntotal_g_100g_105","~~K_g_kg",-0.3756,"-",40,-2.4648,0.0092,-0.3756,"**"
"67","~~Ntotal_g_100g_105","~~pH",-0.42,"-",40,-2.8151,0.0039,-0.42,"**"
"68","~~Ctotal_g_100g_105","~~NH4_mgL_105",0.4088,"-",40,2.7247,0.0049,0.4088,"**"
"69","~~Ctotal_g_100g_105","~~MBC_mg_kg_105",0.6945,"-",40,5.8721,0,0.6945,"***"
"70","~~Ctotal_g_100g_105","~~A_phosphorus_ppm_105",0.1768,"-",40,1.0927,0.1408,0.1768,""
"71","~~Ctotal_g_100g_105","~~K_g_kg",-0.3934,"-",40,-2.603,0.0066,-0.3934,"**"
"72","~~Ctotal_g_100g_105","~~pH",-0.3088,"-",40,-1.9747,0.0279,-0.3088,"*"
"73","~~Fe_g_Kg","~~K_g_kg",0.5855,"-",40,4.3927,0,0.5855,"***"
"74","~~Fe_g_Kg","~~Mg_g_kg",0.8253,"-",40,8.8907,0,0.8253,"***"
"75","~~Al_g_kg","~~Fe_g_Kg",0.6303,"-",40,4.9379,0,0.6303,"***"
"76","~~Al_g_kg","~~Ntotal_g_100g_105",0.3396,"-",40,2.1961,0.0172,0.3396,"*"
"77","~~Mg_g_kg","~~Ctotal_g_100g_105",-0.2813,"-",40,-1.7828,0.0414,-0.2813,"*"
