"","Soil_properties.std","Soil_fertility.std","Carbon_sequestration.std","Nutrient_cycling.std","Metals.std","Soil_biodiversity.std","mf_eff_1"
"1",0.491571407550156,0.718914619478081,0.183836390602851,0.264125451281978,0.328728590372666,0.153246078302942,1.85724328474879
"2",0.571573614694432,0.844996207218022,0.324131758124671,0.330688395239998,0.185655422052302,0.309558749136504,2.273925573724
"3",0.450451538940261,0.593495450423991,0.280258916844975,0.374692828652289,0.257991386005488,0.103480519933493,1.84738897148381
"4",0.717007519432935,0.894624076024009,0.340386861219354,0.127910081308314,0.334862906026983,0.268006732851851,2.24988092489907
"5",0.530066600833385,0.751889074063609,0.169677134233711,0.136440534593629,0.251971445335465,0.272188729430031,1.76440800958465
"6",0.83192287195959,0.781655633797175,0.152274040964275,0.0601073056907737,0.46788608041539,0.152669014560151,1.79968243727401
"7",0.558178141295086,0.645349408559773,0.0871106837571656,0.0438006142241288,0.414387139571041,0.00222983582437755,1.09621837553891
"8",1,0.715040904869745,0.164928138860022,0.151570047222696,0.534577697229482,0.28814751913448,2.3097419084372
"9",0.738527250764413,0.896670693906062,0.193514183324644,0.0318130821311565,0.457505825011835,0.266173250330955,1.95765113858483
"10",0.382564574525553,0.48392983435771,0.0687562978253362,0.226916256160276,0.689931419937549,0.170926040804622,1.65854698217625
"11",0.538956835899946,0.397906995561034,0.131673582513468,0.246657146275754,0.630259982708986,0.118553756734959,1.74483427012382
"12",0.512933861718632,0.697711199359007,0.217063045544541,0.143702973144317,0.468923452762143,0.314407737471485,2.09110371183208
"13",0.429260192543152,0.639568828647713,0.119684006863864,0.165677823822147,0.587891944119495,0.367960493880333,2.00778783754893
"14",0.487134501089207,0.478041110952916,0.111331789672857,0.136864072344469,0.54478872922655,0.027099678808729,1.33739647168224
"15",0.332939899927322,0.570582880167727,0.0604405622912878,0.199172945362484,0.561988630215841,0.204002087148237,1.59780569073162
"16",0.57473026530857,0.711772882874686,0.175050094384996,0.106521501171882,0.538279747306753,0.142116976344868,1.80634470380114
"17",0.52405362824267,0.754112100712905,0.136659431573461,0.0854314395220051,0.550820982427576,0.414566058329148,2.04136219975349
"18",0.655047359027092,0.723899521714331,0.251322987649995,0.124699455833219,0.665901897130925,0.245420727086289,2.26974647343954
"19",0.288646310674553,0.598227230133448,0.0761335937753763,0.0493036882473039,0.574305031238887,0.0511433595872726,1.10429284292175
"20",0.498841220091337,0.85833126992431,0.465274189907073,0.260283667434128,0.624761712737344,0.726132357514851,3.23385797782346
"21",0.336466663861675,0.479190612609304,0.0683464429018424,0.0274148583055536,0.654388089019635,0.0116803887372305,0.963987033983321
"22",0.461373715071469,0.70109003299488,0.26862961349698,0.253717117023037,0.638115396121957,0.263452743723518,2.36500874854944
"23",0.339485133169834,0.570226273034344,0.0899911874325436,0.130057225342803,0.56241092085598,0.320089963639085,1.69856279222532
"24",0.392787797886582,0.526235202832918,0.0198894963216934,0.0416332208382357,0.567084576532444,0.021053246425532,0.950266658970848
"25",0.824891346307874,0.635352508609479,0.190310839583059,0.106596758828335,0.911197183761963,0.111575481693287,2.07882084713601
"26",0.904223688498823,0.772479408930714,0.245893068371657,0.267095103794132,0.739902542563845,0.419894548732558,2.99263583894239
