"","pH.std","EC.std","Bulk_density_g_cm3.std","A_phosphorus_ppm_105.std","Phosphatase_activity_µmol_g_h.std","NH4_mgL_105.std","NO3_mgL_105.std","SOM_per_corregido.std","MBC_mg_kg_105.std","Nematode_g_105.std","Ntotal_g_100g_105.std","Nitrogen_stock_Mg_ha.std","Ctotal_g_100g_105.std","Carbon_stock_Mg_ha.std","Al_g_kg.std","Ca_g_kg.std","Cu_mg_Kg_105.std","K_g_kg.std","Mg_g_kg.std","Na_g_kg.std","Zn_mg_Kg_105.std","Fe_g_Kg.std","Ergosterol_µg_g.std","C_N_ratio.std","mf_eff_1"
"1",0.654014598540146,0.231458333333333,0.798912501247132,0.146151002763178,0.313638548260081,0.0329715160685807,0.169478272688964,0.282603893546934,0.118816410729633,0.164313861327928,0.306307526251764,0.300490966794609,0.153173658768354,0.155582935572728,0.349583154990602,0.369956674535401,0.267845617962381,0.736011035302179,0.820332298579654,1,0.393882450538198,0.250516964157621,0.0972447093411958,0.329177169228507,6.6800516597108
"2",0.69051094890511,0.337916666666667,0.775765738800758,0.275597360373098,0.374868883670773,0.834260168225331,0.0707210528667572,0.401137021535075,0.165306185201991,0.33369910367534,0.581620310105713,0.554044560027807,0.282873056000491,0.278997836865836,0.265150114783765,0.293218776097223,0.0980441140302656,0.752097952129238,0.658844689466445,0.752947186700119,0,0.34944608175297,0.178613046460522,0.320151327268444,7.94647569448867
"3",0.604379562043796,0.246041666666667,0.809089095081313,0.168955707311565,0.425700633657837,0.184938300068383,0.0993128201240506,0.430756843800325,0.185631794123097,0.0682379494607904,0.365421583642744,0.363048861568249,0.204816110928824,0.210687670651018,0.266486931017752,0.215348455816057,0.330291792556857,0.700364265783392,0.659829318576936,0.754072449953417,0.0352620596706232,0.358261893693379,0.113208398805155,0.368954836694854,6.6794892818096
"4",0.78978102189781,0.420833333333333,0.765589144966577,0.270983691822846,0.0190712591790743,0.358580451938735,0.262503581954975,0.517885354739143,0.193857235046097,0.370563421236051,0.444983434382061,0.418325315005298,0.246921540967185,0.240344066038142,0.395133331655669,0.701317651935183,0.28282243079642,0.710076372656866,0.72693982805505,0.900445667286739,0.247301354363901,0.360117706663229,0.075634564352834,0.36527371610624,8.62106907141897
"5",0.68029197080292,0.366458333333333,0.703631647211414,0.229592493972016,0.168625157545971,0.0588692433998646,0.294461614277924,0.274848583171098,0.0573435413538136,0.318316775568672,0.31197007626213,0.269545967882226,0.147171110880633,0.13165779913562,0.277991344369187,0.349847217327438,0.138231999755118,0.813385902816172,0.807141197174448,0.948270538959497,0.345593538934977,0.205378187641619,0.134213589631186,0.310536688068263,6.63517498240644
"6",0.908029197080292,0.201666666666667,0.919734610396089,0.268246482814535,0.043520419731244,0.479808285177208,0.0228861569277257,0.227905121860583,0.0592129519142536,0.248931527293035,0.245648615507397,0.277428699792335,0.129175266657521,0.151049939199893,0.563315938841081,0.501677154914809,0.324863660857479,0.976812645299672,0.615490496467096,0.842311318465033,0.44270156290987,0.465104529440289,0.0122662695809993,0.346153186528075,6.95942519186878
"7",0.762043795620438,0.150416666666667,0.780205527287239,0.178973959020683,0.0121993379904319,0.154541676066949,0.00830144087751809,0.163283280140914,0.0642326804674181,0.00458465211522522,0.151046823062725,0.144708870609557,0.0864088033538759,0.0857127978978004,0.472434433326163,0.368778616968195,0.307066946013743,0.956387790781937,0.630812651965673,0.897134118983481,0.439544145089412,0.371583914638102,0.0147427180858072,0.376573438057463,4.96994005933778
"8",0.846715328467153,0.775,0.830689414347002,0.300105751138821,0.0484516225736245,0.0228210791727206,0.75330438588888,0.325460726426908,0.20272515268915,0.419500181309275,0.222577321843028,0.22703568534947,0.104718620194411,0.110596464988731,0.622084079511168,0.486130400101355,0.596811367552634,0.697285682318241,0.743645370933728,0.728185979419929,0.447851555214371,0.385235169664468,0.0591869198982511,0.309703623524411,8.20551433924227
"9",0.817518248175182,1,0.276563903023047,0.323606011796911,0.0567325015694445,0.0406671963284432,1,0.295519230049054,0,0.413088997287637,0.572952440520101,0.194575701699445,0.236961026984509,0.0833203484240578,0.603829116875155,0.690576314658039,0.553132361006275,0.822589279248425,0.598995206529459,0.782342203928356,0.0537195953782991,0.545459898108168,0.0304627550300257,0.272246081547988,7.56493574601661
"10",0.797080291970803,0.206875,0.388157238351791,0.201383206264763,0.335827174956003,0.271867653591998,0.0569462906291897,0.174700588738105,0.0361069354861344,0.235147682056871,0.155642390533092,0.0741839779931385,0.0747005130689114,0.0368646345017568,0.745397919201521,0.352228420393594,0.761468932297342,0.739671609890203,0.541756619908098,0.703481472544178,0.523169566835105,0.618272669217031,0.0551151947602165,0.315935901583708,6.30048407303414
