"","TRAT2","pH_difference_mean","pH_difference_se","EC_difference_mean","EC_difference_se","Bulk_density_g_cm3_difference_mean","Bulk_density_g_cm3_difference_se","A_phosphorus_ppm_105_difference_mean","A_phosphorus_ppm_105_difference_se","Phosphatase_activity_µmol_g_h_difference_mean","Phosphatase_activity_µmol_g_h_difference_se","NH4_mgL_105_difference_mean","NH4_mgL_105_difference_se","NO3_mgL_105_difference_mean","NO3_mgL_105_difference_se","SOM_per_corregido_difference_mean","SOM_per_corregido_difference_se","MBC_mg_kg_105_difference_mean","MBC_mg_kg_105_difference_se","Nematode_g_105_difference_mean","Nematode_g_105_difference_se","Ntotal_g_100g_105_difference_mean","Ntotal_g_100g_105_difference_se","Nitrogen_stock_Mg_ha_difference_mean","Nitrogen_stock_Mg_ha_difference_se","Ctotal_g_100g_105_difference_mean","Ctotal_g_100g_105_difference_se","Carbon_stock_Mg_ha_difference_mean","Carbon_stock_Mg_ha_difference_se","Al_g_kg_difference_mean","Al_g_kg_difference_se","Ca_g_kg_difference_mean","Ca_g_kg_difference_se","Cu_mg_Kg_105_difference_mean","Cu_mg_Kg_105_difference_se","K_g_kg_difference_mean","K_g_kg_difference_se","Mg_g_kg_difference_mean","Mg_g_kg_difference_se","Na_g_kg_difference_mean","Na_g_kg_difference_se","Zn_mg_Kg_105_difference_mean","Zn_mg_Kg_105_difference_se","Fe_g_Kg_difference_mean","Fe_g_Kg_difference_se","Ergosterol_µg_g_difference_mean","Ergosterol_µg_g_difference_se","C_N_ratio_difference_mean","C_N_ratio_difference_se"
"1","UB",-0.0580000000000001,0.0757158430507704,47.04,10.0427220745506,-0.23542708477971,0.0436832141915768,0.476429347828936,5.90070365229407,30.918255331441,9.159810333848,2.79978873470457,0.81019905668187,1.48885371254163,0.532466901727454,11.9436048692779,2.41870340952624,637.696595424625,248.884471704484,17.276546409684,2.75874666733229,0.362190943911888,0.09523524669864,2.64594979492045,0.738071211893924,10.9085989821307,3.01123768521196,80.4072766347188,22.7458115555537,-0.839311036365508,1.01366373663011,1.27711036125789,0.316949584115395,0.657252749513726,0.421721073121688,-0.0982389254615761,0.103737171719301,-0.124475920714724,0.149770905423222,-0.00565282318277632,0.00392467817768663,3.28119110216673,2.21127603147831,-1.37031997525265,1.20393722629868,10.9220582343135,2.65886852255296,5.20196653555308,1.53748822424755
"2","LS",0.582,0.166571973099385,170.15,42.7194367680307,-0.0304151462446336,0.0248676825712469,68.9614856333319,12.5177089969041,-11.6354626212696,5.84569368578143,1.8214781427219,1.67534048817774,9.50313834972545,2.52992826856856,9.27824223789903,2.05699034171389,211.935851889047,99.7408398412958,12.1129377098429,4.23564858541219,0.291693905078829,0.0772554779658736,1.71249893946425,0.533171097028415,4.64334587311845,1.49563899473983,27.1083340696633,10.897337399843,-4.38150075025211,2.59021382358008,1.29810988364066,0.302762946397555,-0.0197039357441708,1.0984902920319,0.065353948310512,0.21815675082775,-0.0865972476948358,0.210849721414061,-0.00612015308389229,0.00766284707476846,5.2531674194514,5.2326387094124,-2.21916666982925,1.46117155321223,1.87256005055066,1.78839549292993,-0.0102184826899107,0.802962317895881
"3","HS1",0.624,0.14125784147359,67.36,11.6340802052514,-0.193043486814566,0.0628681964064446,64.8053298653452,10.4620680444628,-6.48974304804877,10.5372716527085,6.55077147246924,1.99114924011468,2.60967841200693,0.910993375051685,5.76652648480719,1.2738218981449,252.400353727837,40.0403461444132,3.14628739360281,3.11449802742434,0.175466332477438,0.0658658305351534,0.843381775417503,0.504451252111155,2.47950915248755,1.01709945831257,10.9230289383935,7.44779007078101,-1.46196001509627,2.09129937435371,0.806567344224389,0.131400101220775,0.520051364944276,0.791613516085981,-0.204018802272665,0.20095806644267,0.176337889494221,0.233509989359076,-0.00811084425739731,0.00632874894682757,6.7866113959245,4.42880711404755,-0.0707563235807655,1.47290213498939,1.38842141855476,0.714538317569182,-0.586917498376866,0.250287173610014
"4","HS2",0.709,0.145200627485635,31.43,10.4402431857585,-0.116812088792183,0.0573804869594054,41.1290273506531,10.4247493021365,-3.96718937649552,6.38145390016858,4.64498661545714,1.98053682988676,0.729102047006719,0.536374805635283,2.24096543391835,0.854840848510972,114.31113939118,55.191618536625,10.661324322551,3.13437904656419,0.175975976751065,0.0427723176499561,0.985173478255726,0.38882422739048,1.96633486896905,0.433959993401274,9.88830324906273,4.04034698388925,-2.04076941185526,1.58038054207524,0.71923607087098,0.210242105823442,1.30033871228329,0.698546699250924,0.00995286779208051,0.18925268055285,-0.0491549363368229,0.130398314937624,-0.0159635005817678,0.00477724848686106,3.11561194779653,2.40289061944926,-0.9119760575247,1.00524490036089,0.996971876194253,0.335370040912356,-2.13174796673949,0.761990439927587
